,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2022-10-13,2022-11-04,101.0,9.879112368922781,9.479112368922781,2022-12-02,105.0,9.1,8.8,105.5533447265625
1,2022-10-13,2022-11-04,102.0,9.6,9.4,2022-12-02,111.0,5.6,5.35,105.5533447265625
2,2022-10-13,2022-11-04,103.0,8.85,8.6,2022-12-02,114.00000000000001,4.25,3.95,105.5533447265625
3,2022-10-13,2022-11-04,104.0,7.717677866875173,7.517677866875173,2022-12-02,116.0,3.4,3.15,105.5533447265625
4,2022-10-13,2022-11-04,105.0,7.4,7.2,,,,,105.5533447265625
5,2022-10-13,2022-11-04,106.0,6.910387835147756,6.710387835147756,,,,,105.5533447265625
6,2022-10-13,2022-11-04,107.0,6.028106719807528,5.878106719807529,,,,,105.5533447265625
7,2022-10-13,2022-11-04,108.0,5.270019810000042,5.120019810000041,,,,,105.5533447265625
8,2022-10-13,2022-11-04,109.0,4.931583342099037,4.831583342099036,,,,,105.5533447265625
9,2022-10-13,2022-11-04,110.0,4.4,4.3,,,,,105.5533447265625
10,2022-10-13,2022-11-04,111.0,3.5914364991301375,3.4414364991301385,,,,,105.5533447265625
11,2022-10-13,2022-11-04,112.00000000000001,3.45,3.3,,,,,105.5533447265625
12,2022-10-13,2022-11-04,114.0,2.62,2.44,,,,,105.5533447265625
13,2022-10-13,2022-11-04,115.00000000000001,2.4762962314038424,2.256296231403843,,,,,105.5533447265625
14,2022-10-13,2022-11-04,115.99999999999999,1.9057850269642016,1.7757850269642022,,,,,105.5533447265625
15,2022-10-13,2022-11-04,117.0,1.66,1.51,,,,,105.5533447265625
16,2022-10-13,2022-11-04,119.0,1.1162320335629172,0.9962320335629172,,,,,105.5533447265625
17,2022-10-13,2022-11-04,120.0,1.03,0.8799999999999999,,,,,105.5533447265625
18,2022-10-13,2022-11-04,123.0,0.62,0.5,,,,,105.5533447265625
19,2022-10-13,2022-11-04,125.0,0.41,0.33,,,,,105.5533447265625
20,2022-10-14,2022-11-04,107.0,6.949999999999999,6.7,2022-12-02,105.0,10.4,9.95,107.3098373413086
