,t0,T1,K1,C1,T2,K2,C2,S0
0,2018-01-02,2018-01-19,800,389.8349809374735,2018-04-20,1245,48.72337686478956,1189.010009765625
1,2018-01-02,2018-01-19,805,384.8401370072976,2018-04-20,965,345.4452814629372,1189.010009765625
2,2018-01-02,2018-01-19,810,379.8452930771216,2018-04-20,1510,5.71849971019399,1189.010009765625
3,2018-01-02,2018-01-19,815,374.85044914694566,2018-04-20,1055,207.41369815976188,1189.010009765625
4,2018-01-02,2018-01-19,820,369.8556052167696,2018-04-20,1320,17.840036392210834,1189.010009765625
5,2018-01-02,2018-01-19,825,364.8607612865937,2018-04-20,1000,299.80739972762285,1189.010009765625
6,2018-01-02,2018-01-19,830,359.8659173564177,2018-04-20,815,436.51449512239026,1189.010009765625
7,2018-01-02,2018-01-19,835,354.8710734262419,2018-04-20,1130,134.3717474563604,1189.010009765625
8,2018-01-02,2018-01-19,840,349.87622949606606,2018-04-20,1590,1.791206373467347,1189.010009765625
9,2018-01-02,2018-01-19,845,344.8813855658901,2018-04-20,1145,126.85844411413474,1189.010009765625
10,2018-01-02,2018-01-19,850,339.8865416357145,2018-04-20,1490,4.99941892718505,1189.010009765625
11,2018-01-02,2018-01-19,855,334.89169770553923,2018-04-20,1305,16.597952732864957,1189.010009765625
12,2018-01-02,2018-01-19,860,329.8968537753648,2018-04-20,1605,0.3800413214055562,1189.010009765625
13,2018-01-02,2018-01-19,865,324.90200984519294,2018-04-20,1060,202.70344008817793,1189.010009765625
14,2018-01-02,2018-01-19,870,319.90716591502706,2018-04-20,1660,0.582380368657235,1189.010009765625
15,2018-01-02,2018-01-19,875,314.91232198487563,2018-04-20,825,389.42551758595255,1189.010009765625
16,2018-01-02,2018-01-19,880,309.91747805475796,2018-04-20,1405,18.193793641275487,1189.010009765625
17,2018-01-02,2018-01-19,885,304.9226341247175,2018-04-20,885,424.55513878643956,1189.010009765625
18,2018-01-02,2018-01-19,890,299.92779019485164,2018-04-20,1380,14.14729920870898,1189.010009765625
19,2018-01-02,2018-01-19,895,294.932946265369,2018-04-20,1730,0.1876931315891918,1189.010009765625
20,2018-01-02,2018-01-19,900,289.93810233671593,2018-04-20,1020,193.21414366959442,1189.010009765625
21,2018-01-02,2018-01-19,905,284.94325840982077,2018-04-20,1010,250.673185141972,1189.010009765625
22,2018-01-02,2018-01-19,910,279.94841448658326,2018-04-20,1285,41.95000125480927,1189.010009765625
23,2018-01-02,2018-01-19,915,274.9535705708119,2018-04-20,1555,0.6027425141863366,1189.010009765625
24,2018-01-02,2018-01-19,920,269.95872667000583,2018-04-20,1215,114.10110254679252,1189.010009765625
25,2018-01-02,2018-01-19,925,264.96388279865613,2018-04-20,910,388.00849631082855,1189.010009765625
26,2018-01-02,2018-01-19,930,259.969038984256,2018-04-20,1550,1.3181506544746677,1189.010009765625
27,2018-01-02,2018-01-19,935,254.97419527804178,2018-04-20,1435,3.709775349447724,1189.010009765625
28,2018-01-02,2018-01-19,940,249.97935177380964,2018-04-20,1530,0.9136748566125007,1189.010009765625
29,2018-01-02,2018-01-19,945,244.98450864028845,2018-04-20,1045,255.4866950546031,1189.010009765625
30,2018-01-02,2018-01-19,950,239.98966617579887,2018-04-20,1035,219.51380619283015,1189.010009765625
31,2018-01-02,2018-01-19,955,234.99482489886654,2018-04-20,1105,119.73277916321828,1189.010009765625
32,2018-01-02,2018-01-19,960,229.99998569572443,2018-04-20,1040,221.67731008783352,1189.010009765625
33,2018-01-02,2018-01-19,965,225.00515005611706,2018-04-20,1175,62.83164161315428,1189.010009765625
34,2018-01-02,2018-01-19,970,220.01032044356344,2018-04-20,1595,0.30241485342460034,1189.010009765625
35,2018-01-02,2018-01-19,975,215.01550086646063,2018-04-20,1095,207.99543708532175,1189.010009765625
36,2018-01-02,2018-01-19,980,210.020697743474,2018-04-20,1205,83.5896600319138,1189.010009765625
37,2018-01-02,2018-01-19,985,205.02592119188824,2018-04-20,945,265.26339462531445,1189.010009765625
38,2018-01-02,2018-01-19,990,200.03118691214308,2018-04-20,1400,18.509359587887264,1189.010009765625
39,2018-01-02,2018-01-19,995,195.03651889637985,2018-04-20,1365,17.966303878293438,1189.010009765625
40,2018-01-02,2018-01-19,1000,190.0419532534731,2018-04-20,1025,188.57652787263865,1189.010009765625
41,2018-01-02,2018-01-19,1005,185.04754351648606,2018-04-20,1580,1.5169753309571026,1189.010009765625
42,2018-01-02,2018-01-19,1010,180.0533678781384,2018-04-20,1170,126.1984154610041,1189.010009765625
43,2018-01-02,2018-01-19,1015,175.0595388809367,2018-04-20,945,313.1286983288954,1189.010009765625
44,2018-01-02,2018-01-19,1020,170.06621616422788,2018-04-20,1385,21.98178237497552,1189.010009765625
45,2018-01-02,2018-01-19,1025,165.07362293117325,2018-04-20,1340,10.788713511821337,1189.010009765625
46,2018-01-02,2018-01-19,1030,160.08206683289472,2018-04-20,1480,6.699743530733301,1189.010009765625
47,2018-01-02,2018-01-19,1035,155.09196596125452,2018-04-20,915,337.13573875199444,1189.010009765625
48,2018-01-02,2018-01-19,1040,150.1038805814069,2018-04-20,1540,3.9205325077720388,1189.010009765625
49,2018-01-02,2018-01-19,1045,145.11855110614596,2018-04-20,1235,90.27188938121002,1189.010009765625
50,2018-01-02,2018-01-19,1050,140.1369426038749,2018-04-20,1195,107.11159303410415,1189.010009765625
51,2018-01-02,2018-01-19,1055,135.16029583239478,2018-04-20,1090,222.40661823365681,1189.010009765625
52,2018-01-02,2018-01-19,1060,130.19018439930963,2018-04-20,1575,0.6325441969872453,1189.010009765625
