,t0,T1,K1,C1,T2,K2,C2,S0,Adj_S0
2,2018-01-02,2018-01-19,1197.5,14.675,2018-04-20,1280.0,30.6,59.45050048828125,1189.010009765625
3,2018-01-02,2018-01-19,1200.0,13.676186519390358,2018-04-20,1300.0,25.325,59.45050048828125,1189.010009765625
4,2018-01-02,2018-01-19,1210.0,9.725,2018-04-20,1320.0,25.552383852291246,59.45050048828125,1189.010009765625
5,2018-01-02,2018-01-19,1220.0,7.025,2018-04-20,1340.0,16.468993641705943,59.45050048828125,1189.010009765625
6,2018-01-02,2018-01-19,1230.0,5.0,2018-04-20,1360.0,14.025,59.45050048828125,1189.010009765625
7,2018-01-02,2018-01-19,1239.9999999999998,3.375,2018-04-20,1380.0,14.166772850171244,59.45050048828125,1189.010009765625
8,2018-01-02,2018-01-19,1250.0,2.35,2018-04-20,1400.0,9.374999999999998,59.45050048828125,1189.010009765625
9,2018-01-02,2018-01-19,1260.0,1.7999999999999998,2018-04-20,1420.0,7.662104760752952,59.45050048828125,1189.010009765625
10,2018-01-02,2018-01-19,1270.0,1.3399999999999999,2018-04-20,1440.0,6.079798975428535,59.45050048828125,1189.010009765625
11,2018-01-02,2018-01-19,1280.0,1.1099999999999999,2018-04-20,1460.0,5.275,59.45050048828125,1189.010009765625
12,2018-01-02,2018-01-19,1290.0,0.905,2018-04-20,1480.0,4.956144871305689,59.45050048828125,1189.010009765625
13,2018-01-02,2018-01-19,1300.0,0.76,2018-04-20,1500.0,3.92548707183128,59.45050048828125,1189.010009765625
14,2018-01-02,2018-01-19,1320.0,0.575,2018-04-20,1520.0,3.0351319178453484,59.45050048828125,1189.010009765625
15,2018-01-02,2018-01-19,1330.0,0.485,2018-04-20,1540.0,2.6399999999999997,59.45050048828125,1189.010009765625
16,2018-01-02,2018-01-19,1350.0,0.385,2018-04-20,1560.0,2.255,59.45050048828125,1189.010009765625
17,2018-01-02,2018-01-19,1400.0000000000002,0.20500000000000004,2018-04-20,1600.0,1.8143331343957982,59.45050048828125,1189.010009765625
