,t0,T1,K1,C1,T2,K2,C2,S0
0,2018-01-02,2018-01-19,800,389.8349809374735,2018-04-20,800,393.82410856503463,1189.010009765625
1,2018-01-02,2018-01-19,845,344.8813855658901,2018-04-20,845,349.1146441676563,1189.010009765625
2,2018-01-02,2018-01-19,890,299.92779019485164,2018-04-20,890,304.4844787335992,1189.010009765625
3,2018-01-02,2018-01-19,935,254.97419527804178,2018-04-20,935,260.13094474818513,1189.010009765625
4,2018-01-02,2018-01-19,980,210.020697743474,2018-04-20,980,216.52596385265124,1189.010009765625
5,2018-01-02,2018-01-19,1025,165.07362293117325,2018-04-20,1025,174.5407838811209,1189.010009765625
6,2018-01-02,2018-01-19,1070,120.27790451448917,2018-04-20,1070,135.43264749174676,1189.010009765625
7,2018-01-02,2018-01-19,1115,76.92355949572226,2018-04-20,1115,100.61425146891713,1189.010009765625
8,2018-01-02,2018-01-19,1160,39.698951807645734,2018-04-20,1160,71.27050373206173,1189.010009765625
9,2018-01-02,2018-01-19,1205,15.098767595267875,2018-04-20,1205,48.008934793391134,1189.010009765625
10,2018-01-02,2018-01-19,1250,3.9618889778134636,2018-04-20,1250,30.71694001791224,1189.010009765625
11,2018-01-02,2018-01-19,1295,0.6956309209592323,2018-04-20,1295,18.668408473774104,1189.010009765625
12,2018-01-02,2018-01-19,1340,0.08149581055808129,2018-04-20,1340,10.788713511821337,1189.010009765625
13,2018-01-02,2018-01-19,1385,0.0064582320989075,2018-04-20,1385,5.939294154230346,1189.010009765625
14,2018-01-02,2018-01-19,1430,0.00035387728067808174,2018-04-20,1430,3.121610459057908,1189.010009765625
15,2018-01-02,2018-01-19,1475,1.3751805224304489e-05,2018-04-20,1475,1.5703634024600275,1189.010009765625
16,2018-01-02,2018-01-19,1520,3.890046915714733e-07,2018-04-20,1520,0.7581560801605753,1189.010009765625
17,2018-01-02,2018-01-19,1565,8.216279078358424e-09,2018-04-20,1565,0.3522322744466808,1189.010009765625
18,2018-01-02,2018-01-19,1610,1.3273517226958191e-10,2018-04-20,1610,0.15789614312766306,1189.010009765625
19,2018-01-02,2018-01-19,1655,1.6774796469901313e-12,2018-04-20,1655,0.06847149216257856,1189.010009765625
20,2018-01-03,2018-01-19,800,404.9615237547174,2018-04-20,800,408.9495365871469,1204.1999816894531
21,2018-01-03,2018-01-19,845,360.00436049588853,2018-04-20,845,364.2286898023117,1204.1999816894531
22,2018-01-03,2018-01-19,890,315.0471972370712,2018-04-20,890,319.5603885867163,1204.1999816894531
23,2018-01-03,2018-01-19,935,270.0900340005052,2018-04-20,935,275.08847763909296,1204.1999816894531
24,2018-01-03,2018-01-19,980,225.13288049613385,2018-04-20,980,231.18283921975456,1204.1999816894531
25,2018-01-03,2018-01-19,1025,180.17689424331894,2018-04-20,1025,188.57652787263865,1204.1999816894531
26,2018-01-03,2018-01-19,1070,135.26623968194386,2018-04-20,1070,148.4065081524955,1204.1999816894531
27,2018-01-03,2018-01-19,1115,91.01012349129157,2018-04-20,1115,112.05583067913115,1204.1999816894531
28,2018-01-03,2018-01-19,1160,50.687083071524484,2018-04-20,1160,80.81129460309802,1204.1999816894531
29,2018-01-03,2018-01-19,1205,21.13594859570952,2018-04-20,1205,55.489421058859286,1204.1999816894531
30,2018-01-03,2018-01-19,1250,6.061728072736769,2018-04-20,1250,36.21799168891165,1204.1999816894531
31,2018-01-03,2018-01-19,1295,1.1407180584688847,2018-04-20,1295,22.46254530545563,1204.1999816894531
32,2018-01-03,2018-01-19,1340,0.13910434774221253,2018-04-20,1340,13.247074404217003,1204.1999816894531
33,2018-01-03,2018-01-19,1385,0.011097705542684393,2018-04-20,1385,7.439735912286001,1204.1999816894531
34,2018-01-03,2018-01-19,1430,0.0005915912123161195,2018-04-20,1430,3.9871151875262125,1204.1999816894531
35,2018-01-03,2018-01-19,1475,2.1630959320463404e-05,2018-04-20,1475,2.0439011992564295,1204.1999816894531
36,2018-01-03,2018-01-19,1520,5.577313402297576e-07,2018-04-20,1520,1.004796618637716,1204.1999816894531
37,2018-01-03,2018-01-19,1565,1.0422198280507564e-08,2018-04-20,1565,0.4749658484187606,1204.1999816894531
