,t0,T1,cp_flag,K1,Pi1_ask,Pi1_bid,T2,K2,Pi2_ask,Pi2_bid,Adj_S0
0,2022-07-06,2023-06-16,C,52.0,65.6,64.55,2023-07-21,55.0,66.45131558649288,60.301315586492876,114.33000183105467
1,2022-07-06,2023-06-16,C,135.0,11.1,10.85,2023-07-21,135.0,14.0,9.25,114.33000183105467
2,2022-07-06,2023-06-16,C,140.0,9.05333502433674,8.853335024336738,2023-07-21,140.0,12.35,7.9,114.33000183105467
3,2022-07-06,2023-06-16,C,145.0,8.237909925157963,7.987909925157963,2023-07-21,145.0,11.15,6.45,114.33000183105467
4,2022-07-06,2023-06-16,C,150.0,7.31784776920271,7.067847769202711,2023-07-21,150.0,9.768778403326195,5.3187784033261964,114.33000183105467
5,2022-07-06,2023-06-16,C,160.0,5.25,5.0,2023-07-21,165.0,7.1,2.58,114.33000183105467
6,2022-07-06,2023-06-16,C,175.0,3.35,3.15,,,,,114.33000183105467
7,2022-07-06,2023-06-16,C,175.5,3.1256911464754613,2.9256911464754616,,,,,114.33000183105467
8,2022-07-06,2023-06-16,C,195.0,1.9,1.77,,,,,114.33000183105467
9,2022-07-06,2023-06-16,C,275.0,0.38,0.35,,,,,114.33000183105467
10,2022-07-06,2023-06-16,P,52.0,48.59636414810113,48.446364148101125,2023-07-21,55.0,2.751315586492878,1.5813155864928783,114.33000183105467
11,2022-07-06,2023-06-16,P,68.0,83.775,83.375,2023-07-21,60.0,18.28391087717093,14.49391087717093,114.33000183105467
12,2022-07-06,2023-06-16,P,80.0,-22.74000000000001,-22.820000000000007,2023-07-21,75.0,-9.14999999999999,-12.339999999999991,114.33000183105467
13,2022-07-06,2023-06-16,P,90.0,-2.799999999999986,-2.9499999999999855,2023-07-21,150.0,42.59999999999998,37.29999999999997,114.33000183105467
14,2022-07-06,2023-06-16,P,100.0,0.5749999999999944,0.3749999999999942,2023-07-21,170.0,59.50000000000001,54.45000000000001,114.33000183105467
15,2022-07-06,2023-06-16,P,110.0,18.687790665272395,18.487790665272392,,,,,114.33000183105467
16,2022-07-06,2023-06-16,P,115.0,26.499999999999986,26.249999999999986,,,,,114.33000183105467
