,t0,T1,cp_flag,K1,Pi1_ask,Pi1_bid,T2,K2,Pi2_ask,Pi2_bid,Adj_S0
0,2022-08-18,2023-03-17,C,260.0,46.35,45.50000000000001,2023-04-21,315.0,18.8,16.7,286.2820129394531
1,2022-08-18,2023-03-17,C,275.0,36.4,35.15,2023-04-21,340.0,9.922642164900873,8.772642164900876,286.2820129394531
2,2022-08-18,2023-03-17,C,280.0,33.40515830246994,32.90515830246994,2023-04-21,345.00000000000006,9.6,7.65,286.2820129394531
3,2022-08-18,2023-03-17,C,290.0,27.498793161769203,26.448793161769203,2023-04-21,365.0,5.45,3.55,286.2820129394531
4,2022-08-18,2023-03-17,C,295.0,22.639690144938832,21.589690144938828,2023-04-21,375.0,3.85,2.42,286.2820129394531
5,2022-08-18,2023-03-17,C,300.0,22.200000000000003,21.4,2023-04-21,395.00000000000006,2.03,1.23,286.2820129394531
6,2022-08-18,2023-03-17,C,305.0,20.241083367910598,19.691083367910597,,,,,286.2820129394531
7,2022-08-18,2023-03-17,C,310.0,17.3,17.05,,,,,286.2820129394531
8,2022-08-18,2023-03-17,C,325.0,11.85,11.45,,,,,286.2820129394531
9,2022-08-18,2023-03-17,C,520.0,0.12,0.05,,,,,286.2820129394531
10,2022-08-18,2023-03-17,P,195.0,17.681180035615323,17.531180035615325,2023-04-21,195.0,173.95,172.34999999999997,286.2820129394531
11,2022-08-18,2023-03-17,P,200.0,92.26798393981886,91.96798393981885,2023-04-21,315.0,84.82500000000002,83.12500000000003,286.2820129394531
12,2022-08-18,2023-03-17,P,205.0,-1.4849999999999828,-1.6149999999999831,2023-04-21,325.0,34.525,31.725,286.2820129394531
13,2022-08-18,2023-03-17,P,210.0,-1.0250000000000228,-1.1750000000000227,2023-04-21,340.0,-88.62499999999997,-89.26499999999996,286.2820129394531
14,2022-08-18,2023-03-17,P,215.0,18.04051628299383,17.890516282993833,2023-04-21,360.0,50.7491428441963,49.349142844196294,286.2820129394531
15,2022-08-18,2023-03-17,P,225.0,-23.735000000000028,-23.895000000000024,2023-04-21,365.0,35.106990390265125,33.00699039026513,286.2820129394531
16,2022-08-18,2023-03-17,P,230.00000000000003,1.5762793283325038,1.3262793283325038,,,,,286.2820129394531
17,2022-08-18,2023-03-17,P,265.0,-35.52499999999999,-35.675,,,,,286.2820129394531
18,2022-08-18,2023-03-17,P,290.0,-2.000000000000057,-2.250000000000057,,,,,286.2820129394531
19,2022-08-18,2023-03-17,P,400.0,111.30000000000001,109.30000000000001,,,,,286.2820129394531
20,2022-08-19,2023-03-17,C,220.0,75.2,74.0,2023-04-21,295.0,26.1,23.35,282.3158874511719
21,2022-08-19,2023-03-17,C,280.0,31.3,30.050000000000004,2023-04-21,395.0,2.62,1.32,282.3158874511719
22,2022-08-19,2023-03-17,C,285.0,30.136775106752097,29.536775106752096,,,,,282.3158874511719
23,2022-08-19,2023-03-17,C,315.0,13.118561266368733,12.768561266368732,,,,,282.3158874511719
24,2022-08-19,2023-03-17,C,320.0,12.25,12.0,,,,,282.3158874511719
25,2022-08-19,2023-03-17,C,365.0,3.05,2.91,,,,,282.3158874511719
26,2022-08-19,2023-03-17,C,370.0,2.6000000000000005,2.46,,,,,282.3158874511719
27,2022-08-19,2023-03-17,C,380.0,1.8500000000000003,1.74,,,,,282.3158874511719
28,2022-08-19,2023-03-17,C,450.0,0.36,0.16,,,,,282.3158874511719
29,2022-08-19,2023-03-17,C,520.0,0.12,0.06,,,,,282.3158874511719
30,2022-08-19,2023-03-17,P,205.0,33.30000000000003,33.000000000000036,2023-04-21,150.0,115.14405100238739,112.34405100238737,282.3158874511719
31,2022-08-19,2023-03-17,P,210.0,33.032523183877835,32.83252318387783,2023-04-21,155.0,-0.7138621158113415,-1.6438621158113413,282.3158874511719
32,2022-08-19,2023-03-17,P,235.0,27.797641441311185,27.547641441311185,2023-04-21,170.00000000000003,6.124779075927201,4.2347790759272,282.3158874511719
33,2022-08-19,2023-03-17,P,240.00000000000003,39.075,38.675,2023-04-21,260.0,-85.89513348628346,-87.48513348628346,282.3158874511719
34,2022-08-19,2023-03-17,P,245.0,29.071630654173465,28.721630654173463,2023-04-21,265.0,22.275,19.725,282.3158874511719
35,2022-08-19,2023-03-17,P,250.0,10.949999999999989,10.699999999999989,2023-04-21,270.0,14.56307616968798,11.61307616968798,282.3158874511719
36,2022-08-19,2023-03-17,P,255.0,-36.823470315030775,-36.97347031503078,2023-04-21,275.0,35.70000000000002,33.70000000000002,282.3158874511719
37,2022-08-19,2023-03-17,P,265.0,-39.28419996651765,-39.43419996651765,2023-04-21,280.0,22.4797329470238,20.279732947023795,282.3158874511719
38,2022-08-19,2023-03-17,P,270.0,26.549999999999983,26.049999999999983,2023-04-21,285.0,15.317674619335179,12.317674619335179,282.3158874511719
39,2022-08-19,2023-03-17,P,280.0,-14.274999999999988,-14.62499999999999,2023-04-21,290.0,22.100000000000012,19.25000000000001,282.3158874511719
40,2022-08-22,2023-03-17,C,280.0,26.05,25.55,2023-04-21,145.0,141.44502719544303,139.49502719544301,274.0284118652344
41,2022-08-22,2023-03-17,C,300.0,15.753146589849003,15.453146589849007,2023-04-21,160.0,123.45,120.9,274.0284118652344
42,2022-08-22,2023-03-17,C,310.0,13.00935044411897,12.709350444118972,2023-04-21,280.0,29.5,26.75,274.0284118652344
43,2022-08-22,2023-03-17,C,320.0,9.85,9.55,2023-04-21,340.0,7.2,6.65,274.0284118652344
44,2022-08-22,2023-03-17,C,345.0,4.6,4.45,2023-04-21,355.0,4.718266884664407,3.9682668846644065,274.0284118652344
45,2022-08-22,2023-03-17,C,355.00000000000006,2.935155666023181,2.785155666023182,2023-04-21,360.0,4.15,3.65,274.0284118652344
46,2022-08-22,2023-03-17,C,360.0,2.88,2.66,2023-04-21,370.0,3.8677596653004844,3.3777596653004847,274.0284118652344
47,2022-08-22,2023-03-17,C,370.0,2.03,1.94,2023-04-21,375.0,2.6132215343124567,1.7032215343124566,274.0284118652344
48,2022-08-22,2023-03-17,C,375.0,1.641763616820987,1.571763616820987,2023-04-21,385.0,2.31,1.28,274.0284118652344
49,2022-08-22,2023-03-17,C,380.0,1.46,1.35,2023-04-21,430.0,1.02,0.08,274.0284118652344
50,2022-08-22,2023-03-17,P,110.0,8.236934053309078,8.126934053309078,2023-04-21,145.0,6.105027195443034,5.155027195443035,274.0284118652344
51,2022-08-22,2023-03-17,P,115.0,7.698213339709106,7.588213339709107,2023-04-21,150.0,104.37444979203164,102.42444979203165,274.0284118652344
52,2022-08-22,2023-03-17,P,120.0,7.2797654536279195,7.17976545362792,2023-04-21,175.00000000000003,-20.3871710591492,-21.0971710591492,274.0284118652344
53,2022-08-22,2023-03-17,P,169.99999999999997,62.82554304582378,62.67554304582377,2023-04-21,190.0,72.62499999999997,72.32499999999996,274.0284118652344
54,2022-08-22,2023-03-17,P,185.0,-10.405197283626926,-10.545197283626926,2023-04-21,200.0,-19.59500000000002,-20.295000000000023,274.0284118652344
55,2022-08-22,2023-03-17,P,194.99999999999997,-5.954999999999996,-6.054999999999995,2023-04-21,235.00000000000003,55.34999999999999,53.29999999999999,274.0284118652344
56,2022-08-22,2023-03-17,P,210.0,68.8986800543783,68.6486800543783,2023-04-21,245.0,2.1372025734026066,1.787202573402607,274.0284118652344
57,2022-08-22,2023-03-17,P,230.0,18.6716203713072,18.4216203713072,2023-04-21,250.0,-33.87112628964056,-34.37112628964056,274.0284118652344
58,2022-08-22,2023-03-17,P,240.0,-33.89999999999999,-33.999999999999986,2023-04-21,260.0,-50.274999999999984,-51.57499999999998,274.0284118652344
59,2022-08-22,2023-03-17,P,275.0,-42.325,-42.47500000000001,2023-04-21,280.0,-8.799999999999994,-9.399999999999995,274.0284118652344
60,2022-08-23,2023-03-17,C,280.0,23.225047918603796,22.825047918603797,2023-04-21,245.0,48.95,47.35,272.7359619140625
61,2022-08-23,2023-03-17,C,290.0,20.0,19.55,2023-04-21,260.0,38.50236486069581,36.65236486069581,272.7359619140625
62,2022-08-23,2023-03-17,C,295.0,17.8,17.4,2023-04-21,265.0,36.25,34.85,272.7359619140625
63,2022-08-23,2023-03-17,C,335.0,5.9,5.6,2023-04-21,270.0,33.2,31.3,272.7359619140625
64,2022-08-23,2023-03-17,C,340.0,5.05,4.85,2023-04-21,275.0,30.658767628401595,28.808767628401593,272.7359619140625
65,2022-08-23,2023-03-17,C,470.0,0.2,0.05,2023-04-21,280.0,27.000436248922213,26.40043624892221,272.7359619140625
66,2022-08-23,2023-03-17,C,480.0,0.19,0.030000000000000002,2023-04-21,330.0,8.65,7.949999999999999,272.7359619140625
67,2022-08-23,2023-03-17,C,490.0,0.15479642887094303,0.03479642887094303,2023-04-21,345.0,5.75,5.25,272.7359619140625
68,2022-08-23,2023-03-17,C,500.0,0.1349163618727062,0.02491636187270622,2023-04-21,355.0,4.35,3.35,272.7359619140625
69,2022-08-23,2023-03-17,C,520.0,0.12100910365581534,0.0010091036558153446,2023-04-21,395.0,2.05,0.64,272.7359619140625
70,2022-08-23,2023-03-17,P,110.0,125.97253813923646,125.77253813923647,2023-04-21,140.0,6.617028522933494,6.087028522933495,272.7359619140625
71,2022-08-23,2023-03-17,P,115.0,73.4847583087152,73.3247583087152,2023-04-21,145.0,25.37867739211261,23.898677392112614,272.7359619140625
72,2022-08-23,2023-03-17,P,120.0,-6.5224163064866305,-6.652416306486631,2023-04-21,165.0,119.72495575653173,118.17495575653172,272.7359619140625
73,2022-08-23,2023-03-17,P,185.0,-62.072724474659964,-62.19272447465997,2023-04-21,185.0,-36.224999999999994,-36.54499999999999,272.7359619140625
74,2022-08-23,2023-03-17,P,225.0,-96.07999999999998,-96.17999999999998,2023-04-21,190.0,71.10830285198273,69.80830285198272,272.7359619140625
75,2022-08-23,2023-03-17,P,230.0,42.51090573941499,42.21090573941499,2023-04-21,220.0,7.550000000000006,6.750000000000005,272.7359619140625
76,2022-08-23,2023-03-17,P,235.0,14.148503708070308,13.898503708070308,2023-04-21,235.0,-39.061167392826285,-39.83116739282628,272.7359619140625
77,2022-08-23,2023-03-17,P,240.0,-4.130411067186822,-4.330411067186821,2023-04-21,245.0,2.675000000000006,1.8750000000000053,272.7359619140625
78,2022-08-23,2023-03-17,P,250.0,-1.8249999999999824,-2.0249999999999835,2023-04-21,260.0,3.4249999999999714,2.0749999999999718,272.7359619140625
79,2022-08-23,2023-03-17,P,260.0,6.550000000000011,6.300000000000011,2023-04-21,280.0,-62.34999999999998,-63.68999999999998,272.7359619140625
80,2022-08-24,2023-03-17,C,280.0,24.1,23.75,2023-04-21,185.0,98.65,96.2,272.0947265625
81,2022-08-24,2023-03-17,C,290.0,19.3,18.9,2023-04-21,280.0,26.5,25.35,272.0947265625
82,2022-08-24,2023-03-17,C,320.0,8.65,8.45,2023-04-21,350.0,5.35,3.55,272.0947265625
83,2022-08-24,2023-03-17,C,330.0,6.4,6.2,2023-04-21,394.99999999999994,1.88,0.39000000000000007,272.0947265625
84,2022-08-24,2023-03-17,C,350.00000000000006,3.35,3.2,,,,,272.0947265625
85,2022-08-24,2023-03-17,C,469.99999999999994,0.16,0.09,,,,,272.0947265625
86,2022-08-24,2023-03-17,C,480.00000000000006,0.14,0.07,,,,,272.0947265625
87,2022-08-24,2023-03-17,C,490.0,0.16214448097656392,0.03214448097656389,,,,,272.0947265625
88,2022-08-24,2023-03-17,C,500.0,0.13003782647858525,0.030037826478585234,,,,,272.0947265625
89,2022-08-24,2023-03-17,C,520.0,0.09457349601166627,0.01457349601166627,,,,,272.0947265625
90,2022-08-24,2023-03-17,P,185.00000000000003,3.521908683042802,3.3819086830428025,2023-04-21,140.0,102.26938060657301,100.51938060657301,272.0947265625
91,2022-08-24,2023-03-17,P,190.0,47.30187639809825,47.10187639809825,2023-04-21,180.0,23.651356975296256,23.301356975296255,272.0947265625
92,2022-08-24,2023-03-17,P,195.0,96.28337968438423,95.93337968438424,2023-04-21,190.0,-5.643323645784222,-6.453323645784223,272.0947265625
93,2022-08-24,2023-03-17,P,205.0,23.371095186765793,23.17109518676579,2023-04-21,200.0,-3.9848948973344136,-5.734894897334414,272.0947265625
94,2022-08-24,2023-03-17,P,219.99999999999997,6.400000000000006,6.150000000000006,2023-04-21,210.0,14.22838485340211,13.77838485340211,272.0947265625
95,2022-08-24,2023-03-17,P,225.0,56.7348681242302,56.3348681242302,2023-04-21,219.99999999999997,42.96851287080257,40.868512870802576,272.0947265625
96,2022-08-24,2023-03-17,P,235.0,-34.71500000000003,-34.835000000000036,2023-04-21,240.0,-85.89500000000001,-86.88500000000002,272.0947265625
97,2022-08-24,2023-03-17,P,250.0,13.000000000000018,12.650000000000016,2023-04-21,255.0,-28.425000000000022,-30.275000000000023,272.0947265625
98,2022-08-24,2023-03-17,P,275.0,-47.249999999999986,-47.39999999999999,2023-04-21,260.0,17.299999999999997,16.39999999999999,272.0947265625
99,2022-08-24,2023-03-17,P,290.0,-64.72500000000002,-64.92500000000001,,,,,272.0947265625
100,2022-08-25,2023-03-17,C,285.0,22.6,22.25,2023-04-21,320.00000000000006,11.050000000000002,10.7,275.1136779785156
101,2022-08-25,2023-03-17,C,300.0,15.75,15.45,2023-04-21,330.0,8.45,8.1,275.1136779785156
102,2022-08-25,2023-03-17,C,320.0,9.1,8.8,2023-04-21,335.0,7.5,6.9,275.1136779785156
103,2022-08-25,2023-03-17,C,370.0,1.84,1.64,2023-04-21,340.0,5.758417970234972,5.358417970234972,275.1136779785156
104,2022-08-25,2023-03-17,C,375.0,1.5,1.33,2023-04-21,350.0,4.8,4.45,275.1136779785156
