,t0,T1,cp_flag,K1,Pi1_ask,Pi1_bid,T2,K2,Pi2_ask,Pi2_bid,Adj_S0
0,2021-07-22,2021-08-06,C,3600.0,119.65,117.25000000000001,2021-09-03,3590.0,173.5,161.15,3638.0300903320312
1,2021-07-22,2021-08-06,C,3620.0,109.35,106.4,2021-09-03,3595.0,170.5,158.3,3638.0300903320312
2,2021-07-22,2021-08-06,C,3650.0,94.2,91.65,2021-09-03,3600.0,167.43138789442477,155.43138789442474,3638.0300903320312
3,2021-07-22,2021-08-06,C,3700.0,72.7,70.45,2021-09-03,3630.0,151.5,139.05,3638.0300903320312
4,2021-07-22,2021-08-06,C,3750.0,55.2,53.05,,,,,3638.0300903320312
5,2021-07-22,2021-08-06,C,3780.0000000000005,46.55,44.45,,,,,3638.0300903320312
6,2021-07-22,2021-08-06,C,3800.0,41.5,39.6,,,,,3638.0300903320312
7,2021-07-22,2021-08-06,C,3850.0,31.199999999999996,29.700000000000003,,,,,3638.0300903320312
8,2021-07-22,2021-08-06,C,3900.0,23.7,22.55,,,,,3638.0300903320312
9,2021-07-22,2021-08-06,C,4000.0,14.0,13.5,,,,,3638.0300903320312
10,2021-07-22,2021-08-06,P,3300.0,164.80000000000018,163.30000000000018,2021-09-03,3495.0,83.60000000000028,75.55000000000027,3638.0300903320312
11,2021-07-22,2021-08-06,P,3330.0,121.29999999999991,119.8999999999999,2021-09-03,3500.0,218.19605236621882,204.74605236621883,3638.0300903320312
12,2021-07-22,2021-08-06,P,3350.0,18.0,17.0,2021-09-03,3510.0,108.99999999999991,100.6999999999999,3638.0300903320312
13,2021-07-22,2021-08-06,P,3380.0,-59.625000000000185,-60.47500000000018,2021-09-03,3530.0,126.47499999999974,118.37499999999972,3638.0300903320312
14,2021-07-22,2021-08-06,P,3400.0,4.225,3.0250000000000004,2021-09-03,3560.0,160.87499999999946,147.57499999999945,3638.0300903320312
15,2021-07-22,2021-08-06,P,3435.0,-75.50497593235495,-76.40497593235496,2021-09-03,3575.0,39.024999999999814,31.124999999999822,3638.0300903320312
16,2021-07-22,2021-08-06,P,3450.0,-16.89999999999991,-18.29999999999991,2021-09-03,3585.0,108.69937695381333,100.5993769538133,3638.0300903320312
17,2021-07-22,2021-08-06,P,3600.0,80.59999999999937,78.04999999999936,2021-09-03,3610.0,29.449999999999818,21.199999999999818,3638.0300903320312
18,2021-07-22,2021-08-06,P,3605.0,82.85000000000018,80.25000000000018,2021-09-03,3615.0,101.825,93.675,3638.0300903320312
19,2021-07-22,2021-08-06,P,3799.9999999999995,203.3000000000001,199.25000000000009,2021-09-03,3630.0,126.45000000000054,113.10000000000055,3638.0300903320312
20,2021-07-23,2021-08-06,C,3600.0,127.44999999999999,122.89999999999999,2021-09-03,3660.0,141.45,128.7,3656.6400146484375
21,2021-07-23,2021-08-06,C,3640.0,105.11964500124243,101.86964500124242,2021-09-03,3800.0,80.9,76.75,3656.6400146484375
22,2021-07-23,2021-08-06,C,3650.0,99.1,97.0,2021-09-03,4000.0000000000005,35.25,27.1,3656.6400146484375
23,2021-07-23,2021-08-06,C,3690.0,81.55,78.25,2021-09-03,4100.0,24.1,16.25,3656.6400146484375
24,2021-07-23,2021-08-06,C,3700.0,76.75,74.45,2021-09-03,4200.0,17.9,9.9,3656.6400146484375
25,2021-07-23,2021-08-06,C,3710.0,73.2,70.15,2021-09-03,4300.0,14.5,6.25,3656.6400146484375
26,2021-07-23,2021-08-06,C,3750.0,58.5,56.1,2021-09-03,4400.0,10.5,3.9,3656.6400146484375
