,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2021-07-22,2021-08-06,265.0,21.983911643247076,21.683911643247075,2021-09-03,250.0,37.8,36.65,279.4263610839844
1,2021-07-22,2021-08-06,270.0,17.5,17.25,2021-09-03,260.0,28.2,27.349999999999998,279.4263610839844
2,2021-07-22,2021-08-06,275.0,13.299999999999999,13.0,2021-09-03,275.0,15.45,14.85,279.4263610839844
3,2021-07-22,2021-08-06,277.5,11.068455009430478,10.868455009430477,2021-09-03,280.0,11.85,11.4,279.4263610839844
4,2021-07-22,2021-08-06,280.0,9.61077731216413,9.510777312164128,2021-09-03,285.0,8.8,8.5,279.4263610839844
5,2021-07-22,2021-08-06,282.5,7.8,7.7,2021-09-03,290.0,6.6,5.95,279.4263610839844
6,2021-07-22,2021-08-06,285.0,6.3,6.2,2021-09-03,295.0,4.090235421269362,3.8402354212693623,279.4263610839844
7,2021-07-22,2021-08-06,287.5,4.95,4.9,2021-09-03,300.0,3.200089229688995,2.8400892296889944,279.4263610839844
8,2021-07-22,2021-08-06,290.0,3.9,3.8,2021-09-03,305.0,2.04,1.69,279.4263610839844
9,2021-07-22,2021-08-06,292.5,2.92,2.8799999999999994,2021-09-03,310.0,1.55,1.05,279.4263610839844
10,2021-07-22,2021-08-06,295.0,2.17,2.13,2021-09-03,315.0,1.16,0.58,279.4263610839844
11,2021-07-22,2021-08-06,297.5,1.5283916073068962,1.498391607306896,2021-09-03,320.0,0.72,0.48,279.4263610839844
12,2021-07-22,2021-08-06,300.0,1.1700000000000002,1.15,2021-09-03,325.0,0.7895011307700929,0.20950113077009277,279.4263610839844
13,2021-07-22,2021-08-06,302.5,0.86,0.83,2021-09-03,330.0,0.7,0.12,279.4263610839844
14,2021-07-22,2021-08-06,305.0,0.64,0.62,,,,,279.4263610839844
15,2021-07-22,2021-08-06,310.0,0.39,0.37,,,,,279.4263610839844
16,2021-07-22,2021-08-06,320.00000000000006,0.19999999999999998,0.18,,,,,279.4263610839844
