,t0,T1,K1,C1_ask,C1_bid,T2,K2,C2_ask,C2_bid,Adj_S0
0,2022-12-29,2023-01-27,220.0,25.45,23.35,2023-02-10,244.99999999999997,10.1,8.8,238.4508056640625
1,2022-12-29,2023-01-27,235.0,13.6,13.1,2023-02-10,250.00000000000003,8.15,6.8,238.4508056640625
2,2022-12-29,2023-01-27,240.0,10.75,9.9,2023-02-10,255.0,6.097695770036746,4.697695770036746,238.4508056640625
3,2022-12-29,2023-01-27,245.0,7.800000000000001,7.549999999999999,2023-02-10,260.0,4.955698067797222,3.6556980677972213,238.4508056640625
4,2022-12-29,2023-01-27,250.0,5.65,5.45,2023-02-10,265.0,3.2,2.68,238.4508056640625
5,2022-12-29,2023-01-27,255.00000000000003,3.9999999999999996,3.85,2023-02-10,280.0,2.09,0.43,238.4508056640625
6,2022-12-29,2023-01-27,260.0,2.8,2.57,2023-02-10,285.0,1.46,0.54,238.4508056640625
7,2022-12-29,2023-01-27,265.0,1.89,1.66,,,,,238.4508056640625
8,2022-12-29,2023-01-27,270.0,1.25,1.1,,,,,238.4508056640625
9,2022-12-29,2023-01-27,275.0,0.83,0.73,,,,,238.4508056640625
10,2022-12-29,2023-01-27,280.0,0.55,0.47,,,,,238.4508056640625
11,2022-12-29,2023-01-27,285.0,0.36,0.31,,,,,238.4508056640625
12,2022-12-29,2023-01-27,290.0,0.25,0.19,,,,,238.4508056640625
13,2022-12-30,2023-01-27,200.0,41.75,38.95,2023-02-10,240.0,11.95,11.35,237.27346801757812
14,2022-12-30,2023-01-27,225.0,19.85,18.1,2023-02-10,245.0,9.2,8.75,237.27346801757812
15,2022-12-30,2023-01-27,230.0,15.78271135225066,14.082711352250659,2023-02-10,250.0,7.2,6.6,237.27346801757812
16,2022-12-30,2023-01-27,235.0,12.65,11.7,2023-02-10,260.0,3.9499999999999997,3.5,237.27346801757812
17,2022-12-30,2023-01-27,240.0,9.45,9.2,2023-02-10,265.0,3.35,2.32,237.27346801757812
18,2022-12-30,2023-01-27,245.00000000000003,7.05,6.7,,,,,237.27346801757812
19,2022-12-30,2023-01-27,250.0,5.0,4.75,,,,,237.27346801757812
20,2022-12-30,2023-01-27,255.00000000000003,3.45,3.2,,,,,237.27346801757812
21,2022-12-30,2023-01-27,260.0,2.36,2.14,,,,,237.27346801757812
22,2022-12-30,2023-01-27,265.0,1.45,1.31,,,,,237.27346801757812
23,2022-12-30,2023-01-27,270.0,0.99,0.82,,,,,237.27346801757812
24,2022-12-30,2023-01-27,275.0,0.67,0.52,,,,,237.27346801757812
25,2022-12-30,2023-01-27,280.0,0.43,0.3,,,,,237.27346801757812
26,2022-12-30,2023-01-27,285.0,0.3,0.18,,,,,237.27346801757812
