,date,adjusted_price
0,2018-01-02,1189.010009765625
1,2018-01-03,1204.1999816894531
2,2018-01-04,1209.5899963378906
3,2018-01-05,1229.1400146484375
4,2018-01-08,1246.8699645996094
5,2018-01-09,1252.699966430664
6,2018-01-10,1254.3299865722656
7,2018-01-11,1276.6799926757812
8,2018-01-12,1305.2000427246094
9,2018-01-16,1304.8599243164062
10,2018-01-17,1295.0
11,2018-01-18,1293.3200073242188
12,2018-01-19,1294.5799255371094
13,2018-01-22,1327.3100280761719
14,2018-01-23,1362.5399780273438
15,2018-01-24,1357.5100708007812
16,2018-01-25,1377.9499816894531
17,2018-01-26,1402.0500183105469
18,2018-01-29,1417.6800537109375
19,2018-01-30,1437.8199768066406
20,2018-01-31,1450.8900451660156
21,2018-02-01,1390.0
22,2018-02-02,1429.949951171875
23,2018-02-05,1390.0
24,2018-02-06,1442.8399658203125
25,2018-02-07,1416.7799377441406
26,2018-02-08,1350.5000305175781
27,2018-02-09,1339.6000671386719
28,2018-02-12,1386.2300109863281
29,2018-02-13,1414.5100402832031
30,2018-02-14,1451.0499572753906
31,2018-02-15,1461.7599487304688
32,2018-02-16,1448.6900329589844
33,2018-02-20,1468.3500671386719
34,2018-02-21,1482.9200744628906
35,2018-02-22,1485.3399658203125
36,2018-02-23,1500.0
37,2018-02-26,1521.9500732421875
38,2018-02-27,1511.97998046875
39,2018-02-28,1512.449951171875
40,2018-03-01,1493.4500122070312
41,2018-03-02,1500.2499389648438
42,2018-03-05,1523.6099243164062
43,2018-03-06,1537.6400756835938
44,2018-03-07,1545.0
45,2018-03-08,1551.8600463867188
46,2018-03-09,1578.8900756835938
47,2018-03-12,1598.3900451660156
48,2018-03-13,1588.179931640625
49,2018-03-14,1591.0000610351562
50,2018-03-15,1582.3199462890625
51,2018-03-16,1571.6799926757812
52,2018-03-19,1544.9299621582031
53,2018-03-20,1586.510009765625
54,2018-03-21,1581.8600463867188
55,2018-03-22,1544.9200439453125
56,2018-03-23,1495.5599975585938
57,2018-03-26,1555.8599853515625
58,2018-03-27,1497.0500183105469
59,2018-03-28,1431.4199829101562
60,2018-03-29,1447.3399353027344
61,2018-04-02,1371.9900512695312
62,2018-04-03,1392.0500183105469
63,2018-04-04,1410.570068359375
64,2018-04-05,1451.7500305175781
65,2018-04-06,1405.2299499511719
66,2018-04-09,1406.0800170898438
67,2018-04-10,1436.2199401855469
68,2018-04-11,1427.0500183105469
69,2018-04-12,1448.5000610351562
70,2018-04-13,1430.7899475097656
71,2018-04-16,1441.4999389648438
72,2018-04-17,1503.8299560546875
73,2018-04-18,1527.8399658203125
74,2018-04-19,1556.9099426269531
75,2018-04-20,1527.4899291992188
76,2018-04-23,1517.8599548339844
77,2018-04-24,1460.0900268554688
78,2018-04-25,1460.1699829101562
79,2018-04-26,1517.9600524902344
80,2018-04-27,1572.6199340820312
81,2018-04-30,1566.1300659179688
82,2018-05-01,1582.2599792480469
83,2018-05-02,1569.6800231933594
84,2018-05-03,1572.0799255371094
85,2018-05-04,1580.9500122070312
86,2018-05-07,1600.1400756835938
87,2018-05-08,1592.3899841308594
88,2018-05-09,1608.0000305175781
89,2018-05-10,1609.0800476074219
90,2018-05-11,1602.9100036621094
91,2018-05-14,1601.5400695800781
92,2018-05-15,1576.1199951171875
93,2018-05-16,1587.2799682617188
94,2018-05-17,1581.7599487304688
95,2018-05-18,1574.3699645996094
96,2018-05-21,1585.4600524902344
97,2018-05-22,1581.3999938964844
98,2018-05-23,1601.8600463867188
99,2018-05-24,1603.070068359375
100,2018-05-25,1610.1499938964844
101,2018-05-29,1612.8700256347656
102,2018-05-30,1624.8899841308594
103,2018-05-31,1629.6200561523438
104,2018-06-01,1641.5400695800781
105,2018-06-04,1665.2699279785156
106,2018-06-05,1696.3499450683594
107,2018-06-06,1695.7499694824219
108,2018-06-07,1689.2999267578125
109,2018-06-08,1683.9900207519531
110,2018-06-11,1689.1200256347656
111,2018-06-12,1698.75
112,2018-06-13,1704.8599243164062
113,2018-06-14,1723.8600158691406
114,2018-06-15,1715.9700012207031
115,2018-06-18,1723.7899780273438
116,2018-06-19,1734.7799682617188
117,2018-06-20,1750.0799560546875
118,2018-06-21,1730.2200317382812
119,2018-06-22,1715.6700134277344
120,2018-06-25,1663.1500244140625
121,2018-06-26,1691.0899353027344
122,2018-06-27,1660.5099487304688
123,2018-06-28,1701.4500427246094
124,2018-06-29,1699.7999572753906
125,2018-07-02,1713.7800598144531
126,2018-07-03,1693.9599609375
127,2018-07-05,1699.7300720214844
128,2018-07-06,1710.6300354003906
129,2018-07-09,1739.0199279785156
130,2018-07-10,1743.070068359375
131,2018-07-11,1755.0
132,2018-07-12,1796.6200256347656
133,2018-07-13,1813.0299377441406
134,2018-07-16,1822.4899291992188
135,2018-07-17,1843.9300537109375
136,2018-07-18,1842.9200744628906
137,2018-07-19,1812.969970703125
138,2018-07-20,1813.699951171875
139,2018-07-23,1801.9999694824219
140,2018-07-24,1829.2399597167969
141,2018-07-25,1863.6099243164062
142,2018-07-26,1808.0000305175781
143,2018-07-27,1817.2700500488281
144,2018-07-30,1779.219970703125
145,2018-07-31,1777.4400329589844
146,2018-08-01,1797.1699523925781
147,2018-08-02,1834.3299865722656
148,2018-08-03,1823.2899475097656
149,2018-08-06,1847.7499389648438
150,2018-08-07,1862.4800109863281
151,2018-08-08,1886.5199279785156
152,2018-08-09,1898.5200500488281
153,2018-08-10,1886.300048828125
154,2018-08-13,1896.199951171875
155,2018-08-14,1919.6499633789062
156,2018-08-15,1882.6199340820312
