,date,adjusted_price
0,2018-01-02,1071.9796752929688
1,2018-01-03,1090.2687072753906
2,2018-01-04,1094.5037841796875
3,2018-01-05,1109.0171813964844
4,2018-01-08,1112.9326629638672
5,2018-01-09,1111.5142822265625
6,2018-01-10,1108.8673400878906
7,2018-01-11,1110.7752227783203
8,2018-01-12,1129.3538665771484
9,2018-01-16,1129.4037628173828
10,2018-01-17,1137.794189453125
11,2018-01-18,1134.667739868164
12,2018-01-19,1142.1891021728516
13,2018-01-22,1162.8254699707031
14,2018-01-23,1174.8216247558594
15,2018-01-24,1169.9472045898438
16,2018-01-25,1180.7847595214844
17,2018-01-26,1186.1985778808594
18,2018-01-29,1185.119857788086
19,2018-01-30,1176.020278930664
20,2018-01-31,1180.8647155761719
21,2018-02-01,1180.2354431152344
22,2018-02-02,1117.9169464111328
23,2018-02-05,1061.172103881836
24,2018-02-06,1083.1868743896484
25,2018-02-07,1054.2001342773438
26,2018-02-08,1006.5547943115234
27,2018-02-09,1045.070571899414
28,2018-02-12,1053.351058959961
29,2018-02-13,1052.9315948486328
30,2018-02-14,1071.4702606201172
31,2018-02-15,1090.108871459961
32,2018-02-16,1094.244155883789
33,2018-02-20,1102.3249053955078
34,2018-02-21,1112.4732208251953
35,2018-02-22,1108.6276245117188
36,2018-02-23,1126.7967987060547
37,2018-02-26,1142.388916015625
38,2018-02-27,1116.2289428710938
39,2018-02-28,1102.6544952392578
40,2018-03-01,1070.1817321777344
41,2018-03-02,1082.8971862792969
42,2018-03-05,1093.5049438476562
43,2018-03-06,1099.6379089355469
44,2018-03-07,1113.7617492675781
45,2018-03-08,1128.0853271484375
46,2018-03-09,1159.5092010498047
47,2018-03-12,1164.5934295654297
48,2018-03-13,1138.6032104492188
49,2018-03-14,1147.5729370117188
50,2018-03-15,1149.2909240722656
51,2018-03-16,1133.1195068359375
52,2018-03-19,1098.8089752197266
53,2018-03-20,1094.5438385009766
54,2018-03-21,1092.7458953857422
55,2018-03-22,1051.9427490234375
56,2018-03-23,1025.3731536865234
57,2018-03-26,1052.8815460205078
58,2018-03-27,1005.7856750488281
59,2018-03-28,1004.0276336669922
60,2018-03-29,1035.9510040283203
61,2018-04-02,1011.4691162109375
62,2018-04-03,1017.51220703125
63,2018-04-04,1028.5295867919922
64,2018-04-05,1031.4562225341797
65,2018-04-06,1008.7922668457031
66,2018-04-09,1018.9205932617188
67,2018-04-10,1035.3118133544922
68,2018-04-11,1023.8848876953125
69,2018-04-12,1036.100845336914
70,2018-04-13,1034.852294921875
71,2018-04-16,1044.9008178710938
72,2018-04-17,1078.1226348876953
73,2018-04-18,1074.1571807861328
74,2018-04-19,1088.2010650634766
75,2018-04-20,1076.084976196289
76,2018-04-23,1072.5789642333984
77,2018-04-24,1021.4676666259766
78,2018-04-25,1021.8173217773438
79,2018-04-26,1042.1139526367188
80,2018-04-27,1030.267562866211
81,2018-04-30,1017.4123382568359
82,2018-05-01,1039.556884765625
83,2018-05-02,1024.8738098144531
84,2018-05-03,1025.1234436035156
85,2018-05-04,1049.795150756836
86,2018-05-07,1058.2454681396484
87,2018-05-08,1057.376480102539
88,2018-05-09,1087.701644897461
89,2018-05-10,1104.202651977539
90,2018-05-11,1102.1150970458984
91,2018-05-14,1105.3314208984375
92,2018-05-15,1083.6263275146484
93,2018-05-16,1082.8472137451172
94,2018-05-17,1080.0204467773438
95,2018-05-18,1068.4137725830078
96,2018-05-21,1082.767333984375
97,2018-05-22,1074.0773010253906
98,2018-05-23,1084.7151184082031
99,2018-05-24,1084.2056274414062
100,2018-05-25,1082.8372192382812
101,2018-05-29,1066.8455505371094
102,2018-05-30,1076.2348175048828
103,2018-05-31,1098.739013671875
104,2018-06-01,1133.6988830566406
105,2018-06-04,1151.7182159423828
106,2018-06-05,1149.7004699707031
107,2018-06-06,1145.6351470947266
108,2018-06-07,1133.1195068359375
109,2018-06-08,1131.4115142822266
110,2018-06-11,1139.592056274414
111,2018-06-12,1146.873779296875
112,2018-06-13,1142.9182434082031
113,2018-06-14,1158.7800598144531
114,2018-06-15,1157.9410552978516
115,2018-06-18,1182.2232055664062
116,2018-06-19,1177.3387908935547
117,2018-06-20,1182.7125549316406
118,2018-06-21,1168.099365234375
119,2018-06-22,1167.9496002197266
120,2018-06-25,1137.9739379882812
121,2018-06-26,1131.3215637207031
122,2018-06-27,1115.6595611572266
123,2018-06-28,1125.48828125
124,2018-06-29,1127.8955078125
125,2018-07-02,1140.8007049560547
126,2018-07-03,1115.0003051757812
127,2018-07-05,1139.9816131591797
128,2018-07-06,1153.755874633789
129,2018-07-09,1165.9418487548828
130,2018-07-10,1165.802001953125
131,2018-07-11,1170.1171112060547
132,2018-07-12,1199.8828887939453
133,2018-07-13,1203.039321899414
134,2018-07-16,1195.1383972167969
135,2018-07-17,1211.6893768310547
136,2018-07-18,1211.519546508789
137,2018-07-19,1197.7254486083984
138,2018-07-20,1196.5068054199219
139,2018-07-23,1209.6117401123047
140,2018-07-24,1256.7076873779297
141,2018-07-25,1274.477310180664
142,2018-07-26,1284.0263366699219
143,2018-07-27,1251.4537048339844
144,2018-07-30,1228.6299133300781
145,2018-07-31,1225.8131408691406
146,2018-08-01,1231.5765380859375
147,2018-08-02,1239.7071838378906
148,2018-08-03,1236.7406463623047
149,2018-08-06,1236.2511444091797
150,2018-08-07,1254.4003295898438
151,2018-08-08,1259.8841094970703
152,2018-08-09,1263.010482788086
153,2018-08-10,1251.0741424560547
154,2018-08-13,1247.2085571289062
155,2018-08-14,1256.6976928710938
