,date,adjusted_price
0,2018-01-02,320.53001403808594
1,2018-01-03,317.2499942779541
2,2018-01-04,314.61999893188477
3,2018-01-05,316.57999992370605
4,2018-01-08,336.41000747680664
5,2018-01-09,333.6900043487549
6,2018-01-10,334.7999954223633
7,2018-01-11,337.9500102996826
8,2018-01-12,336.220006942749
9,2018-01-16,340.06001472473145
10,2018-01-17,347.1599864959717
11,2018-01-18,344.5699882507324
12,2018-01-19,350.0200080871582
13,2018-01-22,351.5599822998047
14,2018-01-23,352.7899932861328
15,2018-01-24,345.89000701904297
16,2018-01-25,337.6399898529053
17,2018-01-26,342.8499984741211
18,2018-01-29,349.5300006866455
19,2018-01-30,345.8199977874756
20,2018-01-31,354.30999755859375
21,2018-02-01,349.24999237060547
22,2018-02-02,343.7500190734863
23,2018-02-05,333.1300163269043
24,2018-02-06,333.9700126647949
25,2018-02-07,345.0
26,2018-02-08,315.2299976348877
27,2018-02-09,310.42001724243164
28,2018-02-12,315.73001861572266
29,2018-02-13,323.66000175476074
30,2018-02-14,322.3099994659424
31,2018-02-15,334.0700054168701
32,2018-02-16,335.48998832702637
33,2018-02-20,334.77001190185547
34,2018-02-21,333.2999897003174
35,2018-02-22,346.1699867248535
36,2018-02-23,352.0499897003174
37,2018-02-26,357.4199867248535
38,2018-02-27,350.98998069763184
39,2018-02-28,343.05999755859375
40,2018-03-01,330.93000411987305
41,2018-03-02,335.1200008392334
42,2018-03-05,333.3500003814697
43,2018-03-06,328.199987411499
44,2018-03-07,332.30000495910645
45,2018-03-08,329.10000801086426
46,2018-03-09,327.1699905395508
47,2018-03-12,345.51000595092773
48,2018-03-13,341.8400001525879
49,2018-03-14,326.63000106811523
50,2018-03-15,325.600004196167
51,2018-03-16,321.34998321533203
52,2018-03-19,313.5599899291992
53,2018-03-20,310.54999351501465
54,2018-03-21,316.5299892425537
55,2018-03-22,309.0999984741211
56,2018-03-23,301.540002822876
57,2018-03-26,304.1800117492676
58,2018-03-27,279.17999267578125
59,2018-03-28,257.7799987792969
60,2018-03-29,266.13000869750977
61,2018-04-02,252.48001098632812
62,2018-04-03,267.529993057251
63,2018-04-04,286.94000244140625
64,2018-04-05,305.71998596191406
65,2018-04-06,299.29999351501465
66,2018-04-09,289.660005569458
67,2018-04-10,304.7000026702881
68,2018-04-11,300.93000411987305
69,2018-04-12,294.07999992370605
70,2018-04-13,300.34000396728516
71,2018-04-16,291.20999336242676
72,2018-04-17,287.68999099731445
73,2018-04-18,293.3500099182129
74,2018-04-19,300.07999420166016
75,2018-04-20,290.23999214172363
76,2018-04-23,283.3699893951416
77,2018-04-24,283.459997177124
78,2018-04-25,280.6900119781494
79,2018-04-26,285.47999382019043
80,2018-04-27,294.07999992370605
81,2018-04-30,293.8999843597412
82,2018-05-01,299.92000579833984
83,2018-05-02,301.15001678466797
84,2018-05-03,284.4499969482422
85,2018-05-04,294.0900135040283
86,2018-05-07,302.7700138092041
87,2018-05-08,301.96998596191406
88,2018-05-09,306.850004196167
89,2018-05-10,305.0200080871582
90,2018-05-11,301.06000900268555
91,2018-05-14,291.9699954986572
92,2018-05-15,284.1800022125244
93,2018-05-16,286.48000717163086
94,2018-05-17,284.5400047302246
95,2018-05-18,276.8199920654297
96,2018-05-21,284.48999404907227
97,2018-05-22,275.00999450683594
98,2018-05-23,279.0700149536133
99,2018-05-24,277.84998893737793
100,2018-05-25,278.85000228881836
101,2018-05-29,283.7600040435791
102,2018-05-30,291.7199993133545
103,2018-05-31,284.7300052642822
104,2018-06-01,291.8199920654297
105,2018-06-04,296.7400074005127
106,2018-06-05,291.1299991607666
107,2018-06-06,319.4999885559082
108,2018-06-07,316.08999252319336
109,2018-06-08,317.66000747680664
110,2018-06-11,332.09999084472656
111,2018-06-12,342.77000427246094
112,2018-06-13,344.7799873352051
113,2018-06-14,357.7199935913086
114,2018-06-15,358.1700038909912
115,2018-06-18,370.8300018310547
116,2018-06-19,352.54998207092285
117,2018-06-20,362.2200107574463
118,2018-06-21,347.5100040435791
119,2018-06-22,333.63000869750977
120,2018-06-25,333.00999641418457
121,2018-06-26,341.9999885559082
122,2018-06-27,344.50000762939453
123,2018-06-28,349.9300003051758
124,2018-06-29,342.9499912261963
125,2018-07-02,335.06999015808105
126,2018-07-03,310.860013961792
127,2018-07-05,309.1599941253662
128,2018-07-06,308.8999843597412
129,2018-07-09,318.50998878479004
130,2018-07-10,322.4699878692627
131,2018-07-11,318.95999908447266
132,2018-07-12,316.71000480651855
133,2018-07-13,318.86999130249023
134,2018-07-16,310.09998321533203
135,2018-07-17,322.6900005340576
136,2018-07-18,323.85000228881836
137,2018-07-19,320.23000717163086
138,2018-07-20,313.57998847961426
139,2018-07-23,303.1999969482422
140,2018-07-24,297.4300003051758
141,2018-07-25,308.7399959564209
142,2018-07-26,306.6499900817871
143,2018-07-27,297.18000411987305
144,2018-07-30,290.17001152038574
145,2018-07-31,298.1399917602539
146,2018-08-01,300.8399963378906
147,2018-08-02,349.5400142669678
148,2018-08-03,348.1699848175049
149,2018-08-06,341.99000358581543
150,2018-08-07,379.5699977874756
151,2018-08-08,370.339994430542
152,2018-08-09,352.45001792907715
153,2018-08-10,355.48999786376953
154,2018-08-13,356.4100170135498
155,2018-08-14,347.6400089263916
156,2018-08-15,338.68998527526855
157,2018-08-16,335.4499912261963
158,2018-08-17,305.50000190734863
159,2018-08-20,308.4400177001953
160,2018-08-21,321.89998626708984
161,2018-08-22,321.64000511169434
162,2018-08-23,320.10000228881836
163,2018-08-24,322.8200054168701
