Date,AMZN,JPM,JNJ,MSFT,PG,WMT,GOOGL,V,TSLA
2018-01-02,1189.010009765625,90.12548828125,117.50267028808594,80.08092498779297,76.66967010498047,88.32242774963379,1073.2099914550781,109.73363494873047,320.53001403808594
2018-01-03,1204.1999816894531,90.21733093261719,118.6251220703125,80.45361328125,76.57660675048828,89.09285545349121,1091.520004272461,110.82610321044922,317.2499942779541
2018-01-04,1209.5899963378906,91.50975799560547,118.61672973632812,81.16170501708984,77.11792755126953,89.17349052429199,1095.7599639892578,111.23814392089844,314.61999893188477
2018-01-05,1229.1400146484375,90.92230987548828,119.5956802368164,82.16797637939453,77.1686782836914,89.70203590393066,1110.2899932861328,113.9021987915039,316.57999992370605
2018-01-08,1246.8699645996094,91.05658721923828,119.74758911132812,82.25180053710938,77.57464599609375,91.02789115905762,1114.209976196289,114.36217498779297,336.41000747680664
2018-01-09,1252.699966430664,91.5181655883789,121.646484375,82.19590759277344,77.00797271728516,89.93496894836426,1112.7899932861328,114.14176940917969,333.6900043487549
2018-01-10,1254.3299865722656,92.52522277832031,121.50299835205078,81.82323455810547,76.5174331665039,89.28995132446289,1110.1399993896484,114.01720428466797,334.7999954223633
2018-01-11,1276.6799926757812,93.0203628540039,122.19500732421875,82.0654525756836,76.24676513671875,89.60350227355957,1112.0500183105469,114.84130096435547,337.9500102996826
2018-01-12,1305.2000427246094,94.5561752319336,123.01367950439453,83.481689453125,75.7900619506836,90.36499214172363,1130.6500244140625,115.08090209960938,336.220006942749
2018-01-16,1304.8599243164062,94.22047424316406,123.9420166015625,82.31702423095703,76.30596160888672,90.20372200012207,1130.6999969482422,115.36839294433594,340.06001472473145
2018-01-17,1295.0,94.82473754882812,124.04325866699219,83.98480987548828,77.13483428955078,92.00440406799316,1139.1000366210938,116.89205932617188,347.1599864959717
2018-01-18,1293.3200073242188,95.05130767822266,123.99263763427734,83.94754028320312,76.85360717773438,93.43773651123047,1135.9700012207031,117.97491455078125,344.5699882507324
2018-01-19,1294.5799255371094,94.84149932861328,124.36396789550781,83.85436248779297,77.61209106445312,93.69754600524902,1143.499984741211,117.5820541381836,350.0200080871582
2018-01-22,1327.3100280761719,95.94931030273438,125.02227020263672,85.35443115234375,78.31090545654297,94.46799087524414,1164.1600036621094,119.14405059814453,351.5599822998047
2018-01-23,1362.5399780273438,95.84858703613281,119.69696807861328,85.6246337890625,75.89058685302734,94.87113189697266,1176.1699676513672,119.45069885253906,352.7899932861328
2018-01-24,1357.5100708007812,97.0738754272461,119.89952087402344,85.55008697509766,75.25994110107422,94.77258682250977,1171.2899780273438,119.35485076904297,345.89000701904297
2018-01-25,1377.9499816894531,97.09903717041016,121.86589050292969,86.02526092529297,75.2855224609375,95.49820518493652,1182.1399688720703,119.99691772460938,337.6399898529053
2018-01-26,1402.0500183105469,97.61936950683594,122.65074157714844,87.63713073730469,74.76567840576172,97.10179138183594,1187.5599670410156,121.05103302001953,342.8499984741211
2018-01-29,1417.6800537109375,97.51866149902344,121.25824737548828,87.50668334960938,74.02422332763672,98.14100646972656,1186.4800262451172,119.63276672363281,349.5300006866455
2018-01-30,1437.8199768066406,96.6039047241211,120.20331573486328,86.40725708007812,74.10089874267578,96.51056671142578,1177.3699951171875,118.39657592773438,345.8199977874756
2018-01-31,1450.8900451660156,97.0738754272461,116.625,88.52225494384766,73.58106231689453,95.49820518493652,1182.2200012207031,119.0481948852539,354.30999755859375
2018-02-01,1390.0,98.08094024658203,118.16942596435547,87.8234634399414,73.16348266601562,94.53067588806152,1181.5899658203125,120.47607421875,349.24999237060547
2018-02-02,1429.949951171875,95.9073486328125,116.194580078125,85.51283264160156,71.79993438720703,93.59904670715332,1119.1999816894531,115.86670684814453,343.7500190734863
2018-02-05,1390.0,91.30836486816406,110.0422134399414,81.99092864990234,69.08131408691406,89.66621017456055,1062.3899841308594,111.42021179199219,333.1300163269043
2018-02-06,1442.8399658203125,94.0862045288086,111.25748443603516,85.09354400634766,70.20625305175781,90.3918399810791,1084.4300079345703,114.96588897705078,333.9700126647949
2018-02-07,1416.7799377441406,94.72400665283203,110.91143798828125,83.49099731445312,69.74604797363281,92.13877487182617,1055.4100036621094,114.65924072265625,345.0
2018-02-08,1350.5000305175781,90.5362548828125,106.64109802246094,79.20511627197266,68.36547088623047,89.60350227355957,1007.7100372314453,109.11076354980469,315.2299976348877
2018-02-09,1339.6000671386719,92.34899139404297,109.31642150878906,82.15865325927734,68.10978698730469,89.02118682861328,1046.2699890136719,111.46815490722656,310.42001724243164
2018-02-12,1386.2300109863281,93.77569580078125,109.9409408569336,83.04377746582031,69.3114242553711,89.18245697021484,1054.5600128173828,113.52847290039062,315.73001861572266
2018-02-13,1414.5100402832031,94.35476684570312,109.67933654785156,83.69596099853516,69.45629119873047,90.46350860595703,1054.1400146484375,113.41345977783203,323.66000175476074
2018-02-14,1451.0499572753906,96.5367660522461,109.43456268310547,85.00648498535156,68.75745391845703,91.10855484008789,1072.699966430664,115.79003143310547,322.3099994659424
2018-02-15,1461.7599487304688,96.93959045410156,110.75112915039062,86.73828887939453,70.23182678222656,92.47919654846191,1091.3600158691406,117.38353729248047,334.0700054168701
2018-02-16,1448.6900329589844,96.24301147460938,112.37149047851562,86.12044525146484,70.39376068115234,93.86775398254395,1095.5000305175781,116.97076416015625,335.48998832702637
2018-02-20,1468.3500671386719,96.26819610595703,110.4472885131836,86.79444122314453,69.3199462890625,84.30898475646973,1103.5900115966797,117.1243667602539,334.77001190185547
